zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
18966,"SOUTHAMPTON, PA",611///,17,12,N,N,N,N,N,N,N,N,SOUTHAMPTON,PA,BUCKS
18966,"SOUTHAMPTON, PA",813///,19,9,3,5,N,N,N,N,N,N,SOUTHAMPTON,PA,BUCKS
18969,"TELFORD, PA",611///,4,3,N,N,N,N,N,N,N,N,TELFORD,PA,MONTGOMERY
18969,"TELFORD, PA",813///,16,9,4,N,N,N,N,N,N,N,TELFORD,PA,MONTGOMERY
18970,"TRUMBAUERSVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,TRUMBAUERSVILLE,PA,BUCKS
18972,"UPPER BLACK EDDY, PA",813///,3,3,N,N,N,N,N,N,N,N,UPPER BLACK EDDY,PA,BUCKS
18974,"WARMINSTER, PA",611///,12,6,N,3,N,N,N,N,N,N,WARMINSTER,PA,BUCKS
18974,"WARMINSTER, PA",813///,20,11,5,N,N,N,N,N,N,N,WARMINSTER,PA,BUCKS
18976,"WARRINGTON, PA",611///,10,5,N,N,N,N,N,N,N,N,WARRINGTON,PA,BUCKS
18976,"WARRINGTON, PA",813///,13,9,N,N,N,N,N,N,N,N,WARRINGTON,PA,BUCKS
18977,"WASHINGTON CROSSING, PA",813///,3,N,N,N,N,N,N,N,N,N,WASHINGTON CROSSING,PA,BUCKS
19001,"ABINGTON, PA",611///,10,6,N,N,3,N,N,N,N,N,ABINGTON,PA,MONTGOMERY
19001,"ABINGTON, PA",813///,18,10,3,N,3,N,N,N,N,N,ABINGTON,PA,MONTGOMERY
19002,"AMBLER, PA",611///,13,9,N,N,3,N,N,N,N,N,AMBLER,PA,MONTGOMERY
19002,"AMBLER, PA",813///,31,17,5,5,3,N,N,N,N,N,AMBLER,PA,MONTGOMERY
19003,"ARDMORE, PA",611///,13,6,3,N,N,N,N,N,N,N,ARDMORE,PA,MONTGOMERY
19003,"ARDMORE, PA",813///,20,12,6,N,N,N,N,N,N,N,ARDMORE,PA,MONTGOMERY
19004,"BALA CYNWYD, PA",611///,16,7,N,N,N,N,N,N,N,N,BALA CYNWYD,PA,MONTGOMERY
19004,"BALA CYNWYD, PA",813///,31,16,4,8,N,N,N,N,N,N,BALA CYNWYD,PA,MONTGOMERY
19006,"HUNTINGDON VALLEY, PA",611///,14,7,5,N,N,N,N,N,N,N,HUNTINGDON VALLEY,PA,MONTGOMERY
19006,"HUNTINGDON VALLEY, PA",813///,18,8,3,N,4,N,N,N,N,N,HUNTINGDON VALLEY,PA,MONTGOMERY
19007,"BRISTOL, PA",813///,22,14,5,N,N,N,N,N,N,N,BRISTOL,PA,BUCKS
19008,"BROOMALL, PA",611///,10,N,3,N,3,N,N,N,N,N,BROOMALL,PA,DELAWARE
19008,"BROOMALL, PA",813///,21,12,4,N,3,N,N,N,N,N,BROOMALL,PA,DELAWARE
19010,"BRYN MAWR, PA",611///,33,10,4,3,6,3,4,N,N,N,BRYN MAWR,PA,DELAWARE
19010,"BRYN MAWR, PA",813///,26,14,4,3,3,N,N,N,N,N,BRYN MAWR,PA,DELAWARE
19012,"CHELTENHAM, PA",611///,3,N,N,N,N,N,N,N,N,N,CHELTENHAM,PA,MONTGOMERY
19012,"CHELTENHAM, PA",813///,7,5,N,N,N,N,N,N,N,N,CHELTENHAM,PA,MONTGOMERY
19013,"CHESTER, PA",611///,6,N,N,N,N,N,N,N,N,N,CHESTER,PA,DELAWARE
19013,"CHESTER, PA",813///,23,17,5,N,N,N,N,N,N,N,CHESTER,PA,DELAWARE
19014,"ASTON, PA",611///,12,5,5,N,N,N,N,N,N,N,ASTON,PA,DELAWARE
19014,"ASTON, PA",813///,19,9,4,3,N,N,N,N,N,N,ASTON,PA,DELAWARE
19015,"BROOKHAVEN, PA",611///,4,N,N,N,N,N,N,N,N,N,BROOKHAVEN,PA,DELAWARE
19015,"BROOKHAVEN, PA",813///,5,3,N,N,N,N,N,N,N,N,BROOKHAVEN,PA,DELAWARE
19018,"CLIFTON HEIGHTS, PA",611///,3,N,N,N,N,N,N,N,N,N,CLIFTON HEIGHTS,PA,DELAWARE
19018,"CLIFTON HEIGHTS, PA",813///,11,7,N,N,N,N,N,N,N,N,CLIFTON HEIGHTS,PA,DELAWARE
19020,"BENSALEM, PA",611///,14,9,N,N,N,N,N,N,N,N,BENSALEM,PA,BUCKS
